date,time,age,confirmed,deceased
07/05/2020,0,40s,1436,3
07/05/2020,0,50s,1957,15
07/05/2020,0,60s,1354,37
07/05/2020,0,70s,710,77
07/05/2020,0,80s,488,122
08/05/2020,0,0s,141,0
08/05/2020,0,10s,592,0
08/05/2020,0,20s,2967,0
08/05/2020,0,30s,1174,2
08/05/2020,0,40s,1438,3
08/05/2020,0,50s,1957,15
08/05/2020,0,60s,1355,37
08/05/2020,0,70s,710,77
08/05/2020,0,80s,488,122
09/05/2020,0,0s,141,0
09/05/2020,0,10s,594,0
09/05/2020,0,20s,2979,0
09/05/2020,0,30s,1177,2
09/05/2020,0,40s,1438,3
09/05/2020,0,50s,1958,15
09/05/2020,0,60s,1355,37
09/05/2020,0,70s,710,77
09/05/2020,0,80s,488,122
10/05/2020,0,0s,141,0
10/05/2020,0,10s,597,0
10/05/2020,0,20s,2998,0
10/05/2020,0,30s,1180,2
10/05/2020,0,40s,1442,3
10/05/2020,0,50s,1960,15
10/05/2020,0,60s,1357,37
10/05/2020,0,70s,711,77
10/05/2020,0,80s,488,122
11/05/2020,0,0s,141,0
11/05/2020,0,10s,598,0
11/05/2020,0,20s,3019,0
11/05/2020,0,30s,1188,2
11/05/2020,0,40s,1446,3
11/05/2020,0,50s,1960,15
11/05/2020,0,60s,1358,37
11/05/2020,0,70s,711,77
11/05/2020,0,80s,488,122
12/05/2020,0,0s,142,0
12/05/2020,0,10s,602,0
12/05/2020,0,20s,3029,0
12/05/2020,0,30s,1194,2
12/05/2020,0,40s,1448,3
12/05/2020,0,50s,1963,15
12/05/2020,0,60s,1358,37
12/05/2020,0,70s,711,77
12/05/2020,0,80s,489,124
13/05/2020,0,0s,143,0
13/05/2020,0,10s,603,0
13/05/2020,0,20s,3042,0
13/05/2020,0,30s,1199,2
13/05/2020,0,40s,1450,3
13/05/2020,0,50s,1964,15
13/05/2020,0,60s,1359,37
13/05/2020,0,70s,712,77
13/05/2020,0,80s,490,125
14/05/2020,0,0s,143,0
14/05/2020,0,10s,614,0
14/05/2020,0,20s,3056,0
14/05/2020,0,30s,1202,2
14/05/2020,0,40s,1451,3
14/05/2020,0,50s,1964,15
14/05/2020,0,60s,1359,38
14/05/2020,0,70s,712,77
14/05/2020,0,80s,490,125
