date,hour,birth_year,sex,province,city,fp_num
2020-01-01,4,20,male,Seoul,Seongdong-gu,21040
2020-01-01,4,20,female,Seoul,Songpa-gu,44410
2020-01-01,4,20,male,Seoul,Songpa-gu,44300
2020-01-01,4,20,female,Seoul,Yangcheon-gu,28280
2020-01-01,4,20,male,Seoul,Yangcheon-gu,30610
2020-01-01,4,20,female,Seoul,Yeongdeungpo-gu,28200
2020-01-01,4,20,male,Seoul,Yeongdeungpo-gu,27840
2020-01-01,4,20,female,Seoul,Yongsan-gu,19670
2020-01-01,4,20,male,Seoul,Yongsan-gu,19230
2020-01-01,5,20,female,Seoul,Dobong-gu,20630
2020-01-01,5,20,male,Seoul,Dobong-gu,22080
2020-01-01,5,20,female,Seoul,Dongdaemun-gu,25480
2020-01-01,5,20,male,Seoul,Dongdaemun-gu,27580
2020-01-01,5,20,female,Seoul,Dongjag-gu,28720
2020-01-01,5,20,male,Seoul,Dongjag-gu,30210
2020-01-01,5,20,female,Seoul,Eunpyeong-gu,28880
2020-01-01,5,20,male,Seoul,Eunpyeong-gu,28800
2020-01-01,5,20,female,Seoul,Gangbuk-gu,19490
2020-01-01,5,20,male,Seoul,Gangbuk-gu,21310
2020-01-01,5,20,female,Seoul,Gangdong-gu,28110
2020-01-01,5,20,male,Seoul,Gangdong-gu,30360
2020-01-01,5,20,female,Seoul,Gangnam-gu,41510
2020-01-01,5,20,male,Seoul,Gangnam-gu,40270
2020-01-01,5,20,female,Seoul,Gangseo-gu,39110
2020-01-01,5,20,male,Seoul,Gangseo-gu,38560
2020-01-01,5,20,female,Seoul,Geumcheon-gu,15350
2020-01-01,5,20,male,Seoul,Geumcheon-gu,17390
2020-01-01,5,20,female,Seoul,Guro-gu,26430
2020-01-01,5,20,male,Seoul,Guro-gu,27690
2020-01-01,5,20,female,Seoul,Gwanak-gu,42070
2020-01-01,5,20,male,Seoul,Gwanak-gu,45390
2020-01-01,5,20,female,Seoul,Gwangjin-gu,30750
2020-01-01,5,20,male,Seoul,Gwangjin-gu,31330
2020-01-01,5,20,female,Seoul,Jongno-gu,15040
2020-01-01,5,20,male,Seoul,Jongno-gu,15090
2020-01-01,5,20,female,Seoul,Jung-gu,11670
2020-01-01,5,20,male,Seoul,Jung-gu,11710
2020-01-01,5,20,female,Seoul,Jungnang-gu,25350
2020-01-01,5,20,male,Seoul,Jungnang-gu,26310
2020-01-01,5,20,female,Seoul,Mapo-gu,34100
2020-01-01,5,20,male,Seoul,Mapo-gu,34480
2020-01-01,5,20,female,Seoul,Nowon-gu,34510
2020-01-01,5,20,male,Seoul,Nowon-gu,38420
2020-01-01,5,20,female,Seoul,Seocho-gu,30670
2020-01-01,5,20,male,Seoul,Seocho-gu,29200
2020-01-01,5,20,female,Seoul,Seodaemun-gu,25270
2020-01-01,5,20,male,Seoul,Seodaemun-gu,24180
2020-01-01,5,20,female,Seoul,Seongbuk-gu,30740
2020-01-01,5,20,male,Seoul,Seongbuk-gu,30400
2020-01-01,5,20,female,Seoul,Seongdong-gu,20190
2020-01-01,5,20,male,Seoul,Seongdong-gu,21460
2020-01-01,5,20,female,Seoul,Songpa-gu,44140
2020-01-01,5,20,male,Seoul,Songpa-gu,44120
2020-01-01,5,20,female,Seoul,Yangcheon-gu,28350
2020-01-01,5,20,male,Seoul,Yangcheon-gu,30780
2020-01-01,5,20,female,Seoul,Yeongdeungpo-gu,28370
2020-01-01,5,20,male,Seoul,Yeongdeungpo-gu,28010
2020-01-01,5,20,female,Seoul,Yongsan-gu,18880
2020-01-01,5,20,male,Seoul,Yongsan-gu,18260
2020-01-01,6,20,female,Seoul,Dobong-gu,20750
2020-01-01,6,20,male,Seoul,Dobong-gu,22390
2020-01-01,6,20,female,Seoul,Dongdaemun-gu,25370
2020-01-01,6,20,male,Seoul,Dongdaemun-gu,27520
2020-01-01,6,20,female,Seoul,Dongjag-gu,28680
2020-01-01,6,20,male,Seoul,Dongjag-gu,30270
2020-01-01,6,20,female,Seoul,Eunpyeong-gu,28700
2020-01-01,6,20,male,Seoul,Eunpyeong-gu,28830
